days,true_rate
0,457.402348
0.020833333,442.8478424
0.041666667,436.7785275
0.0625,427.2677032
0.083333333,420.654992
0.104166667,415.6724696
0.125,416.3956075
0.145833333,414.0395001
0.166666667,415.3060343
0.1875,415.485776
0.208333333,421.371178
0.229166667,433.1433725
0.25,447.9042463
0.270833333,466.1066295
0.291666667,504.8675033
0.3125,537.1981884
0.333333333,576.5024584
0.354166667,623.6859736
0.375,657.5562814
0.395833333,680.9209287
0.416666667,707.2742553
0.4375,724.0275819
0.458333333,724.3884557
0.479166667,702.2889521
0.5,703.102656
0.520833333,681.7276808
0.541666667,672.0357243
0.5625,650.2984849
0.583333333,640.7876605
0.604166667,632.4541947
0.625,633.1533838
0.645833333,625.091616
0.666666667,622.3732445
0.6875,622.4624202
0.708333333,618.204426
0.729166667,600.3615262
0.75,598.277117
0.770833333,609.8681794
0.791666667,616.9084765
0.8125,624.6957654
0.833333333,635.5622995
0.854166667,634.5646827
0.875,615.0010282
0.895833333,593.4449208
0.916666667,574.6963606
0.9375,533.4874231
0.958333333,502.0596176
0.979166667,478.6016235
1,465.1651362
1.020833333,443.4714381
1.041666667,430.3623554
1.0625,424.9148112
1.083333333,419.6518823
1.104166667,421.9581842
1.125,417.8029477
1.145833333,416.9707881
1.166666667,418.8155515
1.1875,425.8295458
1.208333333,447.5204631
1.229166667,472.0729189
1.25,535.7638362
1.270833333,614.4085996
1.291666667,683.3610554
1.3125,790.8981266
1.333333333,910.2505823
1.354166667,1036.71073
1.375,1131.324725
1.395833333,1168.154103
1.416666667,1156.983482
1.4375,1156.520553
1.458333333,1124.580702
1.479166667,1054.979311
1.5,1018.700998
1.520833333,993.2226843
1.541666667,921.2838138
1.5625,895.9544118
1.583333333,882.1991753
1.604166667,860.3208618
1.625,845.457933
1.645833333,830.9642349
1.666666667,817.024383
1.6875,779.7306849
1.708333333,748.0677561
1.729166667,714.374058
1.75,682.9880522
1.770833333,672.9251234
1.791666667,682.9852714
1.8125,684.2761888
1.833333333,669.5978753
1.854166667,667.8426388
1.875,644.856633
1.895833333,613.2860118
1.916666667,578.3000061
1.9375,538.9755388
1.958333333,492.9126099
1.979166667,455.8035272
2,440.9405984
2.020833333,413.339208
2.041666667,401.3378176
2.0625,394.9671965
2.083333333,389.1504215
2.104166667,385.8259541
2.125,386.1014868
2.145833333,387.5193549
2.166666667,392.9641183
2.1875,412.9011895
2.208333333,450.5613376
2.229166667,496.8984087
2.25,592.0662491
2.270833333,677.7263972
2.291666667,767.5403914
2.3125,868.4313087
2.333333333,980.426515
2.354166667,1051.764496
2.375,1091.732337
2.395833333,1108.161716
2.416666667,1088.406479
2.4375,1076.128166
2.458333333,1033.757545
2.479166667,984.279231
2.5,929.1701484
2.520833333,908.0302964
2.541666667,886.6135214
2.5625,867.135208
2.583333333,856.3338176
2.604166667,829.4708887
2.625,827.7156522
2.645833333,808.8834926
2.666666667,787.8359484
2.6875,769.4653272
2.708333333,739.4639368
2.729166667,707.7087003
2.75,672.2611561
2.770833333,652.5059195
2.791666667,661.7352984
2.8125,669.8569849
2.833333333,661.0863637
2.854166667,650.3772811
2.875,632.9297368
2.895833333,610.7745003
2.916666667,572.3731099
2.9375,519.6640272
2.958333333,496.4010984
2.979166667,462.7074003
3,437.6906253
3.020833333,414.1507734
3.041666667,397.1647676
3.0625,321.0194089
3.083333333,318.15648
3.104166667,313.539705
3.125,263.9279956
3.145833333,262.9112206
3.166666667,272.0482918
3.1875,292.5392091
3.208333333,327.1532033
3.229166667,383.3671976
3.25,472.5350379
3.270833333,569.9182629
3.291666667,646.6245649
3.3125,757.1154822
3.333333333,857.4525533
3.354166667,934.4357783
3.375,989.1728495
3.395833333,990.9253053
3.416666667,955.8469918
3.4375,966.3686783
3.458333333,912.1826726
3.479166667,865.9351283
3.5,800.0260456
3.520833333,800.9477322
3.541666667,775.9309572
3.5625,753.5911053
3.583333333,757.8358687
3.604166667,730.2344783
3.625,717.9561649
3.645833333,705.4009283
3.666666667,690.0513649
3.6875,668.6345899
3.708333333,622.4793534
3.729166667,591.9241168
3.75,567.2765726
3.770833333,544.5674899
3.791666667,544.1045611
3.8125,538.6570168
3.833333333,536.8094726
3.854166667,526.1003899
3.875,510.2220765
3.895833333,480.9517906
3.916666667,455.0119387
3.9375,405.5336253
3.958333333,370.4553118
3.979166667,337.3154599
4,317.9294541
4.020833333,292.2665253
4.041666667,281.0959041
4.0625,268.4483599
4.083333333,263.5546618
4.104166667,266.691733
4.125,263.4595733
4.145833333,266.0427983
4.166666667,275.3644849
4.1875,296.0400176
4.208333333,345.2386272
4.229166667,399.791083
4.25,502.0666157
4.270833333,598.8959945
4.291666667,684.0022964
4.3125,766.7085984
4.333333333,881.1687464
4.354166667,942.2750484
4.375,986.673658
4.395833333,964.6107291
4.416666667,950.6708772
4.4375,933.3156407
4.458333333,886.1450195
4.479166667,848.0205522
4.5,800.2960849
4.520833333,793.0946945
4.541666667,765.1240734
4.5625,731.9842214
4.583333333,722.3324978
4.604166667,711.9926459
4.625,688.729717
4.645833333,674.9744805
4.666666667,657.1092249
4.6875,648.7085737
4.708333333,616.399491
4.729166667,592.582716
4.75,556.5813256
4.770833333,539.0414737
4.791666667,535.1631602
4.8125,521.2233083
4.833333333,509.498841
4.854166667,511.2512968
4.875,496.8499064
4.895833333,480.3254391
4.916666667,441.831741
4.9375,406.8457352
4.958333333,377.5828064
4.979166667,345.4583391
5,328.6569487
5.020833333,299.5786352
5.041666667,283.331091
5.0625,272.9912391
5.083333333,271.4206179
5.104166667,269.1115352
5.125,271.4178371
5.145833333,273.3549083
5.166666667,289.6919795
5.1875,314.2893441
5.208333333,361.0879537
5.229166667,438.3481018
5.25,550.8697883
5.270833333,675.0222441
5.291666667,793.4516229
5.3125,897.4810018
5.333333333,1015.910381
5.354166667,1075.816683
5.375,1126.953754
5.395833333,1109.044671
5.416666667,1082.366358
5.4375,1053.195736
5.458333333,991.7630263
5.479166667,925.0274988
5.5,852.9294763
5.520833333,834.1896243
5.541666667,803.7266955
5.5625,783.1406897
5.583333333,764.8623763
5.604166667,752.3071397
5.625,730.2442109
5.645833333,713.904359
5.666666667,695.4414301
5.6875,665.070809
5.708333333,619.930957
5.729166667,589.0987974
5.75,551.620484
5.770833333,517.8344782
5.791666667,498.4484724
5.8125,484.7855436
5.833333333,478.3226147
5.854166667,445.9212244
5.875,436.0429109
5.895833333,422.7492128
5.916666667,390.2555147
5.9375,376.0387397
5.958333333,342.8065801
5.979166667,331.635959
6,312.4345686
6.020833333,289.1716397
6.041666667,278.4625571
6.0625,271.168859
6.083333333,263.5982378
6.104166667,226.60322
6.125,224.4787527
6.145833333,224.8465931
6.166666667,226.2298181
6.1875,235.4591969
6.208333333,253.1808834
6.229166667,236.0256294
6.25,277.0088544
6.270833333,337.2843871
6.291666667,426.4522275
6.3125,508.8816064
6.333333333,604.880216
6.354166667,683.2480564
6.375,745.0928198
6.395833333,754.7837371
6.416666667,765.3054237
6.4375,749.0578794
6.458333333,710.0103352
6.479166667,643.1781756
6.5,602.0998621
6.520833333,570.7138564
6.541666667,548.6509275
6.5625,504.3418448
6.583333333,494.6481468
6.604166667,484.6775256
6.625,463.2607506
6.645833333,442.8593602
6.666666667,416.8272006
6.6875,401.0411948
6.708333333,380.276
6.729166667,363.4746097
6.75,346.1193731
6.770833333,323.9641366
6.791666667,321.1012077
6.8125,314.6382789
6.833333333,299.5907347
6.854166667,298.9431904
6.875,291.6494924
6.895833333,275.5865635
6.916666667,262.3851731
6.9375,244.4760904
6.958333333,231.7362385
6.979166667,223.981002
7,219.0725667
7.020833333,204.5180612
7.041666667,198.4487463
7.0625,188.9379219
7.083333333,182.3252108
7.104166667,177.3426883
7.125,178.0658263
7.145833333,175.7097189
7.166666667,176.976253
7.1875,177.1559947
7.208333333,183.0413968
7.229166667,194.8135913
7.25,209.5744651
7.270833333,227.7768483
7.291666667,266.5377221
7.3125,298.8684071
7.333333333,338.1726771
7.354166667,385.3561924
7.375,419.2265001
7.395833333,442.5911475
7.416666667,468.9444741
7.4375,485.6978007
7.458333333,486.0586745
7.479166667,463.9591709
7.5,464.7728748
7.520833333,443.3978995
7.541666667,433.7059431
7.5625,411.9687037
7.583333333,402.4578793
7.604166667,394.1244135
7.625,369.8314651
7.645833333,361.7696973
7.666666667,359.0513258
7.6875,359.1405015
7.708333333,354.8825073
7.729166667,337.0396075
7.75,334.9551982
7.770833333,346.5462607
7.791666667,353.5865578
7.8125,361.3738467
7.833333333,372.2403808
7.854166667,371.242764
7.875,351.6791095
7.895833333,330.1230021
7.916666667,311.3744419
7.9375,270.1655044
7.958333333,238.7376989
7.979166667,215.2797047
8,201.8432175
8.020833333,180.1495194
8.041666667,167.0404367
8.0625,161.5928925
8.083333333,156.3299636
8.104166667,158.6362655
8.125,154.481029
8.145833333,153.6488694
8.166666667,155.4936328
8.1875,162.5076271
8.208333333,184.1985444
8.229166667,208.7510002
8.25,272.4419175
8.270833333,351.0866809
8.291666667,420.0391367
8.3125,527.5762078
8.333333333,646.9286636
8.354166667,773.3888117
8.375,868.0028059
8.395833333,904.8321848
8.416666667,893.6615636
8.4375,893.1986348
8.458333333,861.2587829
8.479166667,791.6573925
8.5,755.379079
8.520833333,729.9007655
8.541666667,694.3170363
8.5625,668.9876343
8.583333333,655.2323978
8.604166667,633.3540843
8.625,618.4911555
8.645833333,603.9974574
8.666666667,590.0576055
8.6875,552.7639074
8.708333333,521.1009786
8.729166667,487.4072805
8.75,456.0212747
8.770833333,445.9583459
8.791666667,456.018494
8.8125,457.3094113
8.833333333,442.6310978
8.854166667,440.8758613
8.875,417.8898555
8.895833333,386.3192344
8.916666667,351.3332286
8.9375,312.0087613
8.958333333,265.9458324
8.979166667,228.8367497
9,213.9738209
9.020833333,186.3724305
9.041666667,174.3710401
9.0625,168.000419
9.083333333,162.183644
9.104166667,158.8591767
9.125,159.1347094
9.145833333,155.1482633
9.166666667,160.5930267
9.1875,180.5300979
9.208333333,218.190246
9.229166667,264.5273171
9.25,359.6951575
9.270833333,445.3553056
9.291666667,535.1692998
9.3125,636.0602171
9.333333333,811.868617
9.354166667,822.8816857
9.375,862.8495261
9.395833333,879.278905
9.416666667,859.5236684
9.4375,847.245355
9.458333333,804.8747338
9.479166667,755.3964203
9.5,700.2873376
9.520833333,679.1474857
9.541666667,657.7307107
9.5625,638.2523973
9.583333333,627.4510069
9.604166667,600.588078
9.625,598.8328415
9.645833333,580.0006819
9.666666667,558.9531377
9.6875,540.5825165
9.708333333,510.5811261
9.729166667,478.8258896
9.75,443.3783453
9.770833333,423.6231088
9.791666667,432.8524877
9.8125,440.9741742
9.833333333,432.203553
9.854166667,421.4944704
9.875,404.0469261
9.895833333,381.8916896
9.916666667,343.4902992
9.9375,290.7812165
9.958333333,267.5182877
9.979166667,233.8245896
10,208.8078146
10.02083333,185.2679627
10.04166667,168.2819569
10.0625,164.5911728
10.08333333,161.7282439
10.10416667,157.1114689
10.125,160.1000498
10.14583333,159.0832748
10.16666667,168.2203459
10.1875,188.7112632
10.20833333,223.3252575
10.22916667,279.5392517
10.25,368.7070921
10.27083333,466.0903171
10.29166667,542.796619
10.3125,653.2875363
10.33333333,753.6246075
10.35416667,830.6078325
10.375,885.3449036
10.39583333,887.0973594
10.41666667,852.0190459
10.4375,862.5407325
10.45833333,808.3547267
10.47916667,762.1071825
10.5,696.1980998
10.52083333,697.1197863
10.54166667,672.1030113
10.5625,649.7631594
10.58333333,654.0079229
